,Product,Type,Unique_Aspect,CO2_Equivalent_per_Kilo,Score,Entity,food_emissions_land_use,food_emissions_farm,food_emissions_animal_feed,food_emissions_processing,food_emissions_transport,food_emissions_retail,food_emissions_packaging,Food group,GHGEs per 100g (Median)
6,Berries & Grapes,,,1.0999999999999999,B,Berries & Grapes,0.0,0.7,0.0,0.0,0.2,0.0,0.2,,
7,Brassicas,,,0.4,A,Brassicas,0.0,0.3,0.0,0.0,0.1,0.0,0.0,,
8,Cane Sugar,,,2.6,B,Cane Sugar,1.2,0.5,0.0,0.0,0.8,0.0,0.1,,
9,Cassava,,,0.9,A,Cassava,0.6,0.2,0.0,0.0,0.1,0.0,0.0,,
10,Cheese,,,21.200000000000003,E,Cheese,4.5,13.1,2.3,0.7,0.1,0.3,0.2,,
11,Citrus Fruit,,,0.3,A,Citrus Fruit,-0.1,0.3,0.0,0.0,0.1,0.0,0.0,,
12,Coffee,,,16.5,E,Coffee,3.7,10.4,0.0,0.6,0.1,0.1,1.6,,
13,Dark Chocolate,,,18.7,E,Dark Chocolate,14.3,3.7,0.0,0.2,0.1,0.0,0.4,,
14,Eggs,,,4.5,C,Eggs,0.7,1.3,2.2,0.0,0.1,0.0,0.2,,
15,Fish (farmed),,,5.099999999999999,D,Fish (farmed),0.5,3.6,0.8,0.0,0.1,0.0,0.1,,
16,Groundnuts,,,2.4,B,Groundnuts,0.4,1.4,0.0,0.4,0.1,0.0,0.1,,
17,Lamb & Mutton,,,24.5,E,Lamb & Mutton,0.5,19.5,2.4,1.1,0.5,0.2,0.3,,
18,Maize,,,1.1,B,Maize,0.3,0.5,0.0,0.1,0.1,0.0,0.1,,
19,Milk,,,2.8000000000000003,B,Milk,0.5,1.5,0.2,0.1,0.1,0.3,0.1,,
20,Nuts,,,0.2,A,Nuts,-2.1,2.1,0.0,0.0,0.1,0.0,0.1,,
21,Oatmeal,,,1.6,B,Oatmeal,0.0,1.4,0.0,0.0,0.1,0.0,0.1,,
22,Olive Oil,,,6.0,D,Olive Oil,-0.4,4.3,0.0,0.7,0.5,0.0,0.9,,
23,Onions & Leeks,,,0.30000000000000004,A,Onions & Leeks,0.0,0.2,0.0,0.0,0.1,0.0,0.0,,
24,Other Fruit,,,0.7,A,Other Fruit,0.1,0.4,0.0,0.0,0.2,0.0,0.0,,
25,Other Pulses,,,1.6,B,Other Pulses,0.0,1.1,0.0,0.0,0.1,0.0,0.4,,
26,Other Vegetables,,,0.5,A,Other Vegetables,0.0,0.2,0.0,0.1,0.2,0.0,0.0,,
27,Palm Oil,,,7.6000000000000005,D,Palm Oil,3.1,2.1,0.0,1.3,0.2,0.0,0.9,,
28,Peas,,,0.7999999999999999,A,Peas,0.0,0.7,0.0,0.0,0.1,0.0,0.0,,
29,Pig Meat,,,7.199999999999999,D,Pig Meat,1.5,1.7,2.9,0.3,0.3,0.2,0.3,,
30,Potatoes,,,0.30000000000000004,A,Potatoes,0.0,0.2,0.0,0.0,0.1,0.0,0.0,,
31,Poultry Meat,,,6.1000000000000005,D,Poultry Meat,2.5,0.7,1.8,0.4,0.3,0.2,0.2,,
32,Rapeseed Oil,,,3.7,C,Rapeseed Oil,0.2,2.3,0.0,0.2,0.2,0.0,0.8,,
33,Rice,,,4.0,C,Rice,0.0,3.6,0.0,0.1,0.1,0.1,0.1,,
34,Root Vegetables,,,0.30000000000000004,A,Root Vegetables,0.0,0.2,0.0,0.0,0.1,0.0,0.0,,
35,Shrimps (farmed),,,11.799999999999999,E,Shrimps (farmed),0.2,8.4,2.5,0.0,0.2,0.2,0.3,,
36,Soybean Oil,,,5.999999999999999,D,Soybean Oil,3.1,1.5,0.0,0.3,0.3,0.0,0.8,,
37,Soymilk,,,0.9999999999999999,A,Soymilk,0.2,0.1,0.0,0.2,0.1,0.3,0.1,,
